,precision,recall,f1_score,weight
NORM,0.8177525960172307,0.865999999134,0.8411850408736353,1000
STTC,0.6969111955658085,0.6355633791627405,0.6648250454283379,568
CD,0.7306791551974727,0.5502645492940661,0.6277665989660296,567
MI,0.7032640928686525,0.48665297641344357,0.5752427177484919,487
HYP,0.5521472358763974,0.37344398185292954,0.4455445533526125,241
NoC,no data,no data,no data,no data
micro avg,0.6517638840377227,0.6517638840377227,0.6517638840377227,2863
macro avg,0.7001508551051123,0.582384977171436,0.6309127912738215,2863
weighted avg,0.7347014785780029,0.651763883020634,0.6853890217227261,2863
